"","species","scientificName","numberOfOccurrences","class","order","family","speciesKey","iucnRedListCategory"
"2694","Rhinoclemmys punctularia","Rhinoclemmys punctularia (Daudin, 1801)",3,"Testudines",NA,"Geoemydidae",2443655,"NE"
"2695","Phasmahyla lisbella","Phasmahyla lisbella Pereira, Rocha, Folly, Silva & Santana, 2018",5,"Amphibia","Anura","Phyllomedusidae",9816110,"EN"
"2696","Chironius multiventris","Chironius multiventris Schmidt & Walker, 1943",4,"Squamata",NA,"Colubridae",8170948,"LC"
"2697","Micrurus lemniscatus","Micrurus lemniscatus (Linnaeus, 1758)",15,"Squamata",NA,"Elapidae",5226973,"LC"
"2698","Dasyprocta punctata","Dasyprocta punctata Gray, 1842",33,"Mammalia","Rodentia","Dasyproctidae",2437576,"LC"
"2699","Copeoglossum arajara","Copeoglossum arajara (Reboucas-Spieker, 1981)",3,"Squamata",NA,"Scincidae",8161970,"LC"
"2700","Xiphorhynchus picus","Xiphorhynchus picus (Gmelin, 1788)",1,"Aves","Passeriformes","Furnariidae",5230154,"LC"
"2701","Leposoma sinepollex","Leposoma sinepollex Rodrigues, Texeira, Recoder, Dal Vechio, Damasceno & Machado-Pellegrino, 2013",4,"Squamata",NA,"Gymnophthalmidae",8544933,"DD"
"2702","Apostolepis longicaudata","Apostolepis longicaudata Gomes, 1921",1,"Squamata",NA,"Colubridae",2458352,"LC"
"2703","Thamnodynastes lanei","Thamnodynastes lanei Bailey, Thomas & Da Silva, 2005",1,"Squamata",NA,"Colubridae",2454799,"LC"
"2704","Rodriguesophis chui","Rodriguesophis chui (Rodrigues, 1993)",1,"Squamata",NA,"Colubridae",7869027,"EN"
"2705","Larus fuscus","Larus fuscus Linnaeus, 1758",2,"Aves","Charadriiformes","Laridae",2481174,"LC"
"2706","Physalaemus maximus","Physalaemus maximus Feio, Pombal & Caramaschi, 1999",2,"Amphibia","Anura","Leptodactylidae",2423572,"NT"
"2707","Contomastix vacariensis","Contomastix vacariensis (Feltrim & Lema, 2000)",11,"Squamata",NA,"Teiidae",8340082,"VU"
"2708","Breviceps gibbosus","Breviceps gibbosus (Linnaeus, 1758)",1,"Amphibia","Anura","Brevicipitidae",5218072,"NT"
"2709","Marmosops parvidens","Marmosops parvidens (Tate, 1931)",3,"Mammalia","Didelphimorphia","Didelphidae",2439947,"LC"
"2710","Eptesicus furinalis","Eptesicus furinalis (d'Orbigny, 1847)",33,"Mammalia","Chiroptera","Vespertilionidae",2432362,"LC"
"2711","Gardnerycteris crenulatum","Gardnerycteris crenulatum (E.Geoffroy, 1803)",1,"Mammalia","Chiroptera","Phyllostomidae",8962358,"LC"
"2712","Zachaenus carvalhoi","Zachaenus carvalhoi Izecksohn, 1983",6,"Amphibia","Anura","Cycloramphidae",2424302,"LC"
"2713","Sporophila castaneiventris","Sporophila castaneiventris Cabanis, 1849",1,"Aves","Passeriformes","Thraupidae",2491348,"LC"
"2714","Hylodes babax","Hylodes babax Heyer, 1982",1,"Amphibia","Anura","Hylodidae",5218126,"DD"
"2715","Taubatherium major","Taubatherium major Soria & Alvarenga, 1989",1,"Mammalia",NA,"Leontiniidae",8541777,"NE"
"2716","Proceratophrys mantiqueira","Proceratophrys mantiqueira Mângia, Santana, Cruz & Feio, 2014",6,"Amphibia","Anura","Odontophrynidae",10865403,"NE"
"2717","Melanophryniscus montevidensis","Melanophryniscus montevidensis (Philippi, 1902)",1,"Amphibia","Anura","Bufonidae",2422152,"NT"
"2718","Oligoryzomys fornesi","Oligoryzomys fornesi (Massoia, 1973)",13,"Mammalia","Rodentia","Cricetidae",4265163,"LC"
"2719","Colaptes punctigula","Colaptes punctigula (Boddaert, 1783)",3,"Aves","Piciformes","Picidae",2478237,"LC"
"2720","Adelophrnne nordestina","Adelophrnne nordestina",3,"Amphibia","Anura","Eleutherodactylidae",12208147,"NE"
"2721","Formicivora iheringi","Formicivora iheringi Hellmayr, 1909",742,"Aves","Passeriformes","Thamnophilidae",2490046,"NT"
"2722","Megarynchus pitangua","Megarynchus pitangua (Linnaeus, 1766)",81412,"Aves","Passeriformes","Tyrannidae",2483410,"LC"
"2723","Neopelma chrysolophum","Neopelma chrysolophum Pinto, 1944",3860,"Aves","Passeriformes","Pipridae",5230516,"LC"
"2724","Sula leucogaster","Sula leucogaster (Boddaert, 1783)",4416,"Aves","Suliformes","Sulidae",2480975,"LC"
"2725","Aramides saracura","Aramides saracura (Spix, 1825)",51584,"Aves","Gruiformes","Rallidae",2474658,"LC"
"2726","Coscoroba coscoroba","Coscoroba coscoroba (Molina, 1782)",1772,"Aves","Anseriformes","Anatidae",2498288,"LC"
"2727","Theristicus caerulescens","Theristicus caerulescens (Vieillot, 1817)",973,"Aves","Pelecaniformes","Threskiornithidae",2480787,"LC"
"2728","Sirystes sibilator","Sirystes sibilator (Vieillot, 1818)",14653,"Aves","Passeriformes","Tyrannidae",2483973,"LC"
"2729","Netta erythrophthalma","Netta erythrophthalma (Wied-Neuwied, 1833)",603,"Aves","Anseriformes","Anatidae",2498177,"LC"
"2730","Tersina viridis","Tersina viridis (Illiger, 1811)",28345,"Aves","Passeriformes","Thraupidae",2488545,"LC"
"2731","Brotogeris chiriri","Brotogeris chiriri (Vieillot, 1818)",54469,"Aves","Psittaciformes","Psittacidae",2479583,"LC"
"2732","Leptotila verreauxi","Leptotila verreauxi Bonaparte, 1855",71831,"Aves","Columbiformes","Columbidae",2496060,"LC"
"2733","Accipiter striatus","Accipiter striatus Vieillot, 1808",6217,"Aves","Accipitriformes","Accipitridae",9740253,"LC"
"2734","Pheugopedius genibarbis","Pheugopedius genibarbis (Swainson, 1838)",8398,"Aves","Passeriformes","Troglodytidae",7341176,"LC"
"2735","Microspingus cabanisi","Microspingus cabanisi (Bonaparte, 1850)",6190,"Aves","Passeriformes","Thraupidae",9297229,"LC"
"2736","Guira guira","Guira guira (Gmelin, 1788)",53811,"Aves","Cuculiformes","Cuculidae",2496462,"LC"
"2737","Hemitriccus margaritaceiventer","Hemitriccus margaritaceiventer (Orbigny & Lafresnaye, 1837)",4978,"Aves","Passeriformes","Tyrannidae",2482999,"LC"
"2738","Piprites chloris","Piprites chloris (Temminck, 1822)",3817,"Aves","Passeriformes","Cotingidae",2486429,"LC"
"2739","Psarocolius decumanus","Psarocolius decumanus (Pallas, 1769)",14329,"Aves","Passeriformes","Icteridae",2484217,"LC"
"2740","Crax blumenbachii","Crax blumenbachii Spix, 1825",711,"Aves","Galliformes","Cracidae",2482179,"EN"
"2741","Picumnus limae","Picumnus limae E.Snethlage, 1924",1702,"Aves","Piciformes","Picidae",5228782,"LC"
"2742","Chordeiles acutipennis","Chordeiles acutipennis (Hermann, 1783)",349,"Aves","Caprimulgiformes","Caprimulgidae",2497052,"LC"
"2743","Leptodactylus fuscus","Leptodactylus fuscus (Schneider, 1799)",1351,"Amphibia","Anura","Leptodactylidae",5217556,"LC"
