"","species","scientificName","numberOfOccurrences","class","order","family","speciesKey","iucnRedListCategory"
"1","Pyriglena leucoptera","Pyriglena leucoptera (Vieillot, 1818)",33407,"Aves","Passeriformes","Thamnophilidae",2490068,"LC"
"2","Hemitriccus mirandae","Hemitriccus mirandae (E.Snethlage, 1925)",937,"Aves","Passeriformes","Tyrannidae",2482986,"VU"
"3","Elaenia albiceps","Elaenia albiceps (Orbigny & Lafresnaye, 1837)",819,"Aves","Passeriformes","Tyrannidae",5229651,"LC"
"4","Anodorhynchus hyacinthinus","Anodorhynchus hyacinthinus (Latham, 1790)",48,"Aves","Psittaciformes","Psittacidae",2479359,"VU"
"5","Formicivora rufa","Formicivora rufa (Wied-Neuwied, 1831)",1417,"Aves","Passeriformes","Thamnophilidae",2490041,"LC"
"6","Augastes scutatus","Augastes scutatus (Temminck, 1824)",746,"Aves","Apodiformes","Trochilidae",2476272,"LC"
"7","Amazonetta brasiliensis","Amazonetta brasiliensis (J.F.Gmelin, 1789)",37773,"Aves","Anseriformes","Anatidae",2498411,"LC"
"8","Knipolegus nigerrimus","Knipolegus nigerrimus (Vieillot, 1818)",5772,"Aves","Passeriformes","Tyrannidae",2483049,"LC"
"9","Conopophaga cearae","Conopophaga cearae Cory, 1916",1256,"Aves","Passeriformes","Conopophagidae",6101035,"NT"
"10","Polystictus pectoralis","Polystictus pectoralis (Vieillot, 1817)",296,"Aves","Passeriformes","Tyrannidae",5229775,"NT"
"11","Chlorophonia cyanea","Chlorophonia cyanea (Thunberg, 1822)",10701,"Aves","Passeriformes","Fringillidae",2488315,"LC"
"12","Piculus chrysochloros","Piculus chrysochloros (Vieillot, 1818)",606,"Aves","Piciformes","Picidae",5228906,"LC"
"13","Crypturellus soui","Crypturellus soui (Hermann, 1783)",2019,"Aves","Tinamiformes","Tinamidae",2477507,"LC"
"14","Cathartes burrovianus","Cathartes burrovianus Cassin, 1845",14761,"Aves","Accipitriformes","Cathartidae",2481928,"LC"
"15","Ardea alba","Ardea alba Linnaeus, 1758",66002,"Aves","Pelecaniformes","Ardeidae",9752617,"LC"
"16","Chrysuronia leucogaster","Chrysuronia leucogaster (J.F.Gmelin, 1788)",1630,"Aves","Apodiformes","Trochilidae",11046492,"NE"
"17","Dysithamnus mentalis","Dysithamnus mentalis (Temminck, 1823)",37650,"Aves","Passeriformes","Thamnophilidae",2490033,"LC"
"18","Aratinga auricapillus","Aratinga auricapillus (Kuhl, 1820)",7577,"Aves","Psittaciformes","Psittacidae",2479097,"LC"
"19","Sporophila pileata","Sporophila pileata (P.L.Sclater, 1865)",1395,"Aves","Passeriformes","Thraupidae",7735140,"LC"
"20","Serpophaga griseicapilla","Serpophaga griseicapilla Straneck, 2007",73,"Aves","Passeriformes","Tyrannidae",6086503,"LC"
"21","Coccyzus euleri","Coccyzus euleri Cabanis, 1873",650,"Aves","Cuculiformes","Cuculidae",2496293,"LC"
"22","Orthopsittaca manilata","Orthopsittaca manilata (Boddaert, 1783)",214,"Aves","Psittaciformes","Psittacidae",2479446,"LC"
"23","Calonectris diomedea","Calonectris diomedea (Scopoli, 1769)",29,"Aves","Procellariiformes","Procellariidae",2481521,"LC"
"24","Morphnus guianensis","Morphnus guianensis (Daudin, 1800)",14,"Aves","Accipitriformes","Accipitridae",2480576,"NT"
"25","Dendropsophus melanargyreus","Dendropsophus melanargyreus (Cope, 1887)",5,"Amphibia","Anura","Hylidae",2428462,"LC"
"26","Rhinella ornata","Rhinella ornata (Spix, 1824)",1055,"Amphibia","Anura","Bufonidae",5216887,"LC"
"27","Brachycephalus hermogenesi","Brachycephalus hermogenesi (Giaretta & Sawaya, 1998)",26,"Amphibia","Anura","Brachycephalidae",5217419,"LC"
"28","Ololygon agilis","Ololygon agilis (Cruz & Peixoto, 1983)",8,"Amphibia","Anura","Hylidae",10849602,"LC"
"29","Melanophryniscus alipioi","Melanophryniscus alipioi Langone, Segalla, Bornschein & de Sá, 2008",9,"Amphibia","Anura","Bufonidae",2422154,"VU"
"30","Oreophylax moreirae","Oreophylax moreirae (Ribeiro, 1906)",3,"Aves","Passeriformes","Furnariidae",2485998,"LC"
"31","Xenodon merremii","Xenodon merremii (Wagler, 1824)",573,"Squamata",NA,"Colubridae",5224072,"LC"
"32","Dendrophryniscus haddadi","Dendrophryniscus haddadi Cruz, Caramaschi, Fusinatto & Brasileiro, 2019",11,"Amphibia","Anura","Bufonidae",10147187,"LC"
"33","Enyalius perditus","Enyalius perditus Jackson, 1978",339,"Squamata",NA,"Leiosauridae",5226339,"LC"
"34","Pseudopaludicola ameghini","Pseudopaludicola ameghini (Cope, 1887)",8,"Amphibia","Anura","Leptodactylidae",10671287,"NE"
"35","Celeus torquatus","Celeus torquatus (Boddaert, 1783)",15,"Aves","Piciformes","Picidae",5228945,"LC"
"36","Guyramemua affine","Guyramemua affine (Burmeister, 1856)",5,"Aves","Passeriformes","Tyrannidae",10824822,"NE"
"37","Adenomera nana","Adenomera nana (Müller, 1922)",53,"Amphibia","Anura","Leptodactylidae",10722763,"LC"
"38","Melanophryniscus simplex","Melanophryniscus simplex Caramaschi & Cruz, 2002",28,"Amphibia","Anura","Bufonidae",2422146,"LC"
"39","Alouatta belzebul","Alouatta belzebul (Linnaeus, 1766)",38,"Mammalia","Primates","Atelidae",2436655,"VU"
"40","Boana pombali","Boana pombali (Caramaschi, Pimenta & Feio, 2004)",17,"Amphibia","Anura","Hylidae",10753513,"LC"
"41","Epicrates cenchria","Epicrates cenchria (Linnaeus, 1758)",32,"Squamata",NA,"Boidae",2465228,"LC"
"42","Oxymycterus roberti","Oxymycterus roberti Thomas, 1901",2,"Mammalia","Rodentia","Cricetidae",2438943,"LC"
"43","Pyrrhura molinae","Pyrrhura molinae (Massena & Souance, 1854)",9,"Aves","Psittaciformes","Psittacidae",2479804,"LC"
"44","Crossodactylodes itambe","Crossodactylodes itambe Barata, Santos, Leite & Garcias, 2013",5,"Amphibia","Anura","Leptodactylidae",8687883,"CR"
"45","Phyllomedusa bicolor","Phyllomedusa bicolor (Boddaert, 1772)",2,"Amphibia","Anura","Phyllomedusidae",2427977,"LC"
"46","Melanophryniscus stelzneri","Melanophryniscus stelzneri (Weyenbergh, 1875)",11,"Amphibia","Anura","Bufonidae",2422156,"LC"
"47","Paratelmatobius lutzii","Paratelmatobius lutzii Lutz & Carvalho, 1958",1,"Amphibia","Anura","Leptodactylidae",2426187,"DD"
"48","Gastrotheca pulchra","Gastrotheca pulchra Caramaschi & Rodrigues, 2007",1,"Amphibia","Anura","Hemiphractidae",5218160,"DD"
"49","Rhinella mirandaribeiroi","Rhinella mirandaribeiroi (Gallardo, 1965)",2,"Amphibia","Anura","Bufonidae",10730320,"NE"
"50","Buteo albicaudatus","Buteo albicaudatus Vieillot, 1816",3,"Aves","Accipitriformes","Accipitridae",2480519,"LC"
"51","Sphaenorhynchus cammaeus","Sphaenorhynchus cammaeus Roberto, Araujo-Vieira, Carvalho-e-Silva & Ávila, 2017",1,"Amphibia","Anura","Hylidae",10889610,"CR"
"52","Nectomys rattus","Nectomys rattus (Pelzeln, 1883)",1,"Mammalia","Rodentia","Cricetidae",5706776,"LC"
"53","Imantodes cenchoa","Imantodes cenchoa (Linnaeus, 1758)",33,"Squamata",NA,"Colubridae",8960303,"LC"
"54","Phasmahyla cochranae","Phasmahyla cochranae (Bokermann, 1966)",38,"Amphibia","Anura","Phyllomedusidae",2428357,"LC"
"55","Pavo cristatus","Pavo cristatus Linnaeus, 1758",70,"Aves","Galliformes","Phasianidae",9451184,"LC"
"56","Salvator rufescens","Salvator rufescens (Günther, 1871)",7,"Squamata",NA,"Teiidae",8285095,"LC"
"57","Philander opossum","Philander opossum (Linnaeus, 1758)",38,"Mammalia","Didelphimorphia","Didelphidae",5219950,"LC"
"58","Micoureus paraguayanus","Micoureus paraguayanus (Tate, 1931)",8,"Mammalia","Didelphimorphia","Didelphidae",2439895,"LC"
"59","Circus cinereus","Circus cinereus Vieillot, 1816",329,"Aves","Accipitriformes","Accipitridae",5229170,"LC"
"60","Paratelmatobius poecilogaster","Paratelmatobius poecilogaster Giaretta & Castanho, 1990",10,"Amphibia","Anura","Leptodactylidae",2426186,"DD"
"61","Claravis pretiosa","Claravis pretiosa (Ferrari-Pérez, 1886)",2319,"Aves","Columbiformes","Columbidae",2495922,"LC"
"62","Drymophila malura","Drymophila malura (Temminck, 1825)",8177,"Aves","Passeriformes","Thamnophilidae",5230837,"LC"
"63","Herpsilochmus pileatus","Herpsilochmus pileatus (Lichtenstein, 1823)",1136,"Aves","Passeriformes","Thamnophilidae",2490111,"VU"
"64","Brotogeris versicolurus","Brotogeris versicolurus (Statius Muller, 1776)",38,"Aves","Psittaciformes","Psittacidae",2479582,"LC"
"65","Atractus pantostictus","Atractus pantostictus Fernandes & Puorto, 1993",73,"Squamata",NA,"Colubridae",5223890,"LC"
"66","Enyalius pictus","Enyalius pictus (Schinz, 1822)",33,"Squamata",NA,"Leiosauridae",5226344,"LC"
"67","Chauna torquata","Chauna torquata (Oken, 1816)",4237,"Aves","Anseriformes","Anhimidae",5959222,"LC"
"68","Accipiter superciliosus","Accipiter superciliosus (Linnaeus, 1766)",2,"Aves","Accipitriformes","Accipitridae",2480580,"LC"
"69","Erythrolamprus aesculapii","Erythrolamprus aesculapii (Linnaeus, 1758)",216,"Squamata",NA,"Colubridae",2456090,"LC"
"70","Xiphorhynchus fuscus","Xiphorhynchus fuscus (Vieillot, 1818)",30077,"Aves","Passeriformes","Furnariidae",5230128,"LC"
"71","Brachycephalus quiririensis","Brachycephalus quiririensis Pie & Ribeiro, 2015",8,"Amphibia","Anura","Brachycephalidae",8796438,"NE"
"72","Atractus trihedrurus","Atractus trihedrurus Amaral, 1926",9,"Squamata",NA,"Colubridae",5223973,"LC"
"73","Glaucidium brasilianum","Glaucidium brasilianum (J.F.Gmelin, 1788)",10332,"Aves","Strigiformes","Strigidae",5232118,"LC"
"74","Celeus flavescens","Celeus flavescens (J.F.Gmelin, 1788)",35667,"Aves","Piciformes","Picidae",5228941,"LC"
"75","Colaptes melanochloros","Colaptes melanochloros (J.F.Gmelin, 1788)",29845,"Aves","Piciformes","Picidae",2478272,"LC"
"76","Bokermannohyla martinsi","Bokermannohyla martinsi (Bokermann, 1964)",1,"Amphibia","Anura","Hylidae",2428036,"LC"
"77","Harpagus bidentatus","Harpagus bidentatus (Latham, 1790)",191,"Aves","Accipitriformes","Accipitridae",5229191,"LC"
"78","Pseudis paradoxa","Pseudis paradoxa (Linnaeus, 1758)",349,"Amphibia","Anura","Hylidae",2428380,"LC"
"79","Megascops choliba","Megascops choliba (Vieillot, 1817)",14696,"Aves","Strigiformes","Strigidae",2497365,"LC"
"80","Hemitriccus striaticollis","Hemitriccus striaticollis (Lafresnaye, 1853)",601,"Aves","Passeriformes","Tyrannidae",2482988,"LC"
"81","Penelope obscura","Penelope obscura Temminck, 1815",33939,"Aves","Galliformes","Cracidae",2482212,"LC"
"82","Erythrolamprus maryellenae","Erythrolamprus maryellenae (Dixon, 1985)",4,"Squamata",NA,"Colubridae",9316719,"LC"
"83","Micropygia schomburgkii","Micropygia schomburgkii (Cabanis, 1848)",11,"Aves","Gruiformes","Rallidae",2474400,"LC"
"84","Coryphospingus cucullatus","Coryphospingus cucullatus (P.L.S.Müller, 1776)",14603,"Aves","Passeriformes","Thraupidae",2491984,"LC"
"85","Fluvicola nengeta","Fluvicola nengeta (Linnaeus, 1766)",71632,"Aves","Passeriformes","Tyrannidae",5229568,"LC"
"86","Lutreolina crassicaudata","Lutreolina crassicaudata (Desmarest, 1804)",54,"Mammalia","Didelphimorphia","Didelphidae",2439988,"LC"
"87","Rhytipterna simplex","Rhytipterna simplex (Lichtenstein, 1823)",4306,"Aves","Passeriformes","Tyrannidae",2483676,"LC"
"88","Tachornis squamata","Tachornis squamata (Cassin, 1853)",3826,"Aves","Apodiformes","Apodidae",2477436,"LC"
"89","Oligoryzomys nigripes","Oligoryzomys nigripes (Olfers, 1818)",494,"Mammalia","Rodentia","Cricetidae",2438273,"LC"
"90","Paratelmatobius gaigeae","Paratelmatobius gaigeae (Cochran, 1938)",6,"Amphibia","Anura","Leptodactylidae",2426184,"DD"
"91","Sporophila angolensis","Sporophila angolensis (Linnaeus, 1766)",5543,"Aves","Passeriformes","Thraupidae",8239823,"LC"
"92","Drymophila ochropyga","Drymophila ochropyga (Hellmayr, 1906)",248,"Aves","Passeriformes","Thamnophilidae",5230834,"LC"
"93","Columbina minuta","Columbina minuta (Linnaeus, 1766)",2036,"Aves","Columbiformes","Columbidae",2495853,"LC"
"94","Fregata minor","Fregata minor (Gmelin, 1789)",12,"Aves","Suliformes","Fregatidae",2480187,"LC"
"95","Chironius flavolineatus","Chironius flavolineatus Jan, 1863",76,"Squamata",NA,"Colubridae",9522387,"LC"
"96","Arremon semitorquatus","Arremon semitorquatus Swainson, 1838",4138,"Aves","Passeriformes","Passerellidae",2491623,"LC"
"97","Coturnicops notatus","Coturnicops notatus (Gould, 1841)",12,"Aves","Gruiformes","Rallidae",5228186,"LC"
"98","Phaethornis subochraceus","Phaethornis subochraceus Todd, 1915",9,"Aves","Apodiformes","Trochilidae",2476583,"LC"
"99","Rhopospina fruticeti","Rhopospina fruticeti (Kittlitz, 1833)",3,"Aves","Passeriformes","Thraupidae",11002466,"LC"
"100","Scinax nebulosus","Scinax nebulosus (Spix, 1824)",10,"Amphibia","Anura","Hylidae",5217869,"LC"
"101","Melanophryniscus milanoi","Melanophryniscus milanoi Baldo, Bornschein, Pie, Firkowski, Ribeiro & Belmonte-Lopes, 2015",2,"Amphibia","Anura","Bufonidae",9071106,"EN"
"102","Dendrocincla merula","Dendrocincla merula (Lichtenstein, 1820)",4,"Aves","Passeriformes","Furnariidae",2485965,"LC"
"103","Cercomacra laeta","Cercomacra laeta Todd, 1920",1,"Aves","Passeriformes","Thamnophilidae",2490138,"LC"
"104","Eleutherodactylus planirostris","Eleutherodactylus planirostris (Cope, 1862)",96,"Amphibia","Anura","Eleutherodactylidae",2424089,"LC"
"105","Aplastodiscus cavicola","Aplastodiscus cavicola (Cruz & Peixoto, 1985)",35,"Amphibia","Anura","Hylidae",2427363,"LC"
"106","Hylodes regius","Hylodes regius Gouvêa, 1979",10,"Amphibia","Anura","Hylodidae",5218096,"CR"
"107","Boana joaquini","Boana joaquini (Lutz, 1968)",59,"Amphibia","Anura","Hylidae",5218004,"LC"
"108","Tropidurus lagunablanca","Tropidurus lagunablanca Carvalho, 2016",12,"Squamata",NA,"Tropiduridae",8772819,"NE"
"109","Coendou speratus","Coendou speratus Pontes, Gadelha, Melo, de Sá, Loss Junior, Costa & Leite, 2013",21,"Mammalia","Rodentia","Erethizontidae",8457271,"VU"
"110","Dendrophidion atlantica","Dendrophidion atlantica Freire, Caramaschi & Gonçalves, 2010",3,"Squamata",NA,"Colubridae",7456196,"DD"
"111","Pseudoboa coronata","Pseudoboa coronata Schneider, 1801",2,"Squamata",NA,"Colubridae",5223060,"LC"
"112","Ameivula nativo","Ameivula nativo (Rocha, Bergallo & Peccinini-Seale, 1997)",50,"Squamata",NA,"Teiidae",8261566,"EN"
"113","Lygodactylus klugei","Lygodactylus klugei (Smith, Martin & Swain, 1977)",10,"Squamata",NA,"Gekkonidae",2446624,"LC"
"114","Arctocephalus tropicalis","Arctocephalus tropicalis (J.E.Gray, 1872)",12,"Mammalia","Carnivora","Otariidae",2433471,"LC"
"115","Stenocercus caducus","Stenocercus caducus (Cope, 1862)",6,"Squamata",NA,"Tropiduridae",2459758,"LC"
"116","Holoaden bradei","Holoaden bradei Lutz, 1958",78,"Amphibia","Anura","Craugastoridae",2425912,"CR"
"117","Balaenoptera bonaerensis","Balaenoptera bonaerensis Burmeister, 1867",1,"Mammalia","Cetacea","Balaenopteridae",7759914,"NT"
"118","Taubatornis campbelli","Taubatornis campbelli Olson & Alvarenga, 2002",1,"Aves","Accipitriformes","Cathartidae",4966745,"NE"
"119","Pampatherium paulacoutoi","Pampatherium paulacoutoi Cartelle & Bohorquez, 1984",1,"Mammalia","Cingulata","Pampatheriidae",8535452,"NE"
"120","Micrurus pyrrhocryptus","Micrurus pyrrhocryptus (Cope, 1862)",2,"Squamata",NA,"Elapidae",5226972,"LC"
"121","Dusicyon avus","Dusicyon avus (Burmeister, 1866)",1,"Mammalia","Carnivora","Canidae",8488303,"EX"
"122","Elephantulus brachyrhynchus","Elephantulus brachyrhynchus (A.Smith, 1836)",21,"Mammalia","Macroscelidea","Macroscelididae",2440856,"LC"
"123","Trinomys yonenagae","Trinomys yonenagae Rocha, 1995",1,"Mammalia","Rodentia","Echimyidae",4262956,"EN"
"124","Juliomys ossitenuis","Juliomys ossitenuis Costa, Pavan, Leite & Fagundes, 2007",9,"Mammalia","Rodentia","Cricetidae",7359233,"NE"
"125","Lophura nycthemera","Lophura nycthemera (Linnaeus, 1758)",1,"Aves","Galliformes","Phasianidae",5227966,"LC"
"126","Crossodactylus cyclospinus","Crossodactylus cyclospinus Nascimento, Cruz & Feio, 2005",1,"Amphibia","Anura","Hylodidae",2429867,"EN"
"127","Amerotyphlops arenensis","Amerotyphlops arenensis Graboski, Pereira-Filho, Silva, Costa Prudente & Zaher, 2015",1,"Squamata",NA,"Typhlopidae",8582826,"NE"
"128","Piranga olivacea","Piranga olivacea (J.F.Gmelin, 1789)",1,"Aves","Passeriformes","Cardinalidae",2488517,"LC"
"129","Stenella clymene","Stenella clymene (Gray, 1850)",1,"Mammalia","Cetacea","Delphinidae",5220064,"LC"
"130","Conopophaga melanops","Conopophaga melanops (Vieillot, 1818)",10279,"Aves","Passeriformes","Conopophagidae",2488935,"LC"
"131","Pseudoseisura cristata","Pseudoseisura cristata (Spix, 1824)",2224,"Aves","Passeriformes","Furnariidae",2485852,"LC"
"132","Sternula superciliaris","Sternula superciliaris (Vieillot, 1819)",1949,"Aves","Charadriiformes","Laridae",5789280,"LC"
"133","Thamnophilus aethiops","Thamnophilus aethiops P.L.Sclater, 1858",358,"Aves","Passeriformes","Thamnophilidae",5959213,"LC"
"134","Knipolegus cyanirostris","Knipolegus cyanirostris (Vieillot, 1818)",5897,"Aves","Passeriformes","Tyrannidae",2483052,"LC"
"135","Setophaga pitiayumi","Setophaga pitiayumi (Vieillot, 1817)",66923,"Aves","Passeriformes","Parulidae",7341895,"LC"
"136","Psilorhamphus guttatus","Psilorhamphus guttatus (Ménétriés, 1835)",3699,"Aves","Passeriformes","Rhinocryptidae",5231011,"LC"
"137","Accipiter poliogaster","Accipiter poliogaster (Temminck, 1824)",326,"Aves","Accipitriformes","Accipitridae",2480597,"NT"
"138","Lepidocolaptes falcinellus","Lepidocolaptes falcinellus (Cabanis & Heine, 1859)",7181,"Aves","Passeriformes","Furnariidae",2486043,"LC"
"139","Anabacerthia amaurotis","Anabacerthia amaurotis (Temminck, 1823)",2769,"Aves","Passeriformes","Furnariidae",2485689,"NT"
"140","Myiothlypis leucoblephara","Myiothlypis leucoblephara (Vieillot, 1817)",42119,"Aves","Passeriformes","Parulidae",8158524,"LC"
"141","Anhinga anhinga","Anhinga anhinga (Linnaeus, 1766)",11572,"Aves","Suliformes","Anhingidae",2482082,"LC"
"142","Acrobatornis fonsecai","Acrobatornis fonsecai Pacheco, B.M.Whitney & Gonzaga, 1996",365,"Aves","Passeriformes","Furnariidae",2485084,"VU"
"143","Tangara seledon","Tangara seledon (P.L.S.Müller, 1776)",41700,"Aves","Passeriformes","Thraupidae",2488104,"LC"
"144","Ramphastos vitellinus","Ramphastos vitellinus M.H.K.Lichtenstein, 1823",18937,"Aves","Piciformes","Ramphastidae",2478782,"LC"
"145","Podiceps occipitalis","Podiceps occipitalis Garnot, 1826",75,"Aves","Podicipediformes","Podicipedidae",2482063,"LC"
"146","Phoenicoparrus andinus","Phoenicoparrus andinus (Philippi, 1854)",161,"Aves","Phoenicopteriformes","Phoenicopteridae",2481106,"VU"
"147","Dendrocolaptes picumnus","Dendrocolaptes picumnus Lichtenstein, 1820",10,"Aves","Passeriformes","Furnariidae",9680445,"LC"
"148","Desmodus rotundus","Desmodus rotundus (E.Geoffroy, 1810)",530,"Mammalia","Chiroptera","Phyllostomidae",2433298,"LC"
"149","Stereocyclops parkeri","Stereocyclops parkeri (Wettstein, 1934)",11,"Amphibia","Anura","Microhylidae",2421652,"LC"
"150","Leptodactylus mystaceus","Leptodactylus mystaceus (Spix, 1824)",70,"Amphibia","Anura","Leptodactylidae",5217593,"LC"
"151","Boana bischoffi","Boana bischoffi (Boulenger, 1887)",379,"Amphibia","Anura","Hylidae",10711141,"LC"
"152","Paratelmatobius poecilogaster","Paratelmatobius poecilogaster Giaretta & Castanho, 1990",26,"Amphibia","Anura","Leptodactylidae",2426186,"LC"
"153","Phyllomedusa bahiana","Phyllomedusa bahiana Lutz, 1925",31,"Amphibia","Anura","Phyllomedusidae",2427997,"LC"
"154","Rhinella margaritifera","Rhinella margaritifera (Laurenti, 1768)",36,"Amphibia","Anura","Bufonidae",5216969,"LC"
"155","Crossodactylus trachystomus","Crossodactylus trachystomus (Reinhardt & Lütken, 1862)",27,"Amphibia","Anura","Hylodidae",2429864,"NT"
"156","Vitreorana eurygnatha","Vitreorana eurygnatha (Lutz, 1925)",142,"Amphibia","Anura","Centrolenidae",8743060,"LC"
"157","Scinax eurydice","Scinax eurydice (Bokermann, 1968)",113,"Amphibia","Anura","Hylidae",5217872,"LC"
"158","Scinax tymbamirim","Scinax tymbamirim Nunes, Kwet & Pombal, 2012",98,"Amphibia","Anura","Hylidae",10382770,"NE"
"159","Saltator grossus","Saltator grossus (Linnaeus, 1767)",4,"Aves","Passeriformes","Thraupidae",5230955,"LC"
"160","Iguana iguana","Iguana iguana (Linnaeus, 1758)",236,"Squamata",NA,"Iguanidae",2459658,"LC"
"161","Physalaemus riograndensis","Physalaemus riograndensis Milstead, 1960",36,"Amphibia","Anura","Leptodactylidae",2423579,"LC"
"162","Cycloramphus ohausi","Cycloramphus ohausi (Wandolleck, 1907)",24,"Amphibia","Anura","Cycloramphidae",2424367,"CR"
"163","Caluromys philander","Caluromys philander (Linnaeus, 1758)",66,"Mammalia","Didelphimorphia","Didelphidae",2439999,"LC"
"164","Coendou prehensilis","Coendou prehensilis (Linnaeus, 1758)",32,"Mammalia","Rodentia","Erethizontidae",2437600,"LC"
"165","Sapajus xanthosternos","Sapajus xanthosternos (Wied-Neuwied, 1826)",31,"Mammalia","Primates","Cebidae",7549160,"CR"
"166","Spinus yarrellii","Spinus yarrellii (Audubon, 1839)",22,"Aves","Passeriformes","Fringillidae",6092655,"VU"
"167","Otaria byronia","Otaria byronia (de Blainville, 1820)",25,"Mammalia","Carnivora","Otariidae",5218774,"LC"
"168","Philodryas agassizii","Philodryas agassizii (Jan, 1863)",24,"Squamata",NA,"Colubridae",8275265,"LC"
"169","Crossodactylus schmidti","Crossodactylus schmidti Gallardo, 1961",28,"Amphibia","Anura","Hylodidae",2429863,"LC"
"170","Strobilurus torquatus","Strobilurus torquatus Wiegmann, 1834",58,"Squamata",NA,"Tropiduridae",5224878,"LC"
"171","Knipolegus hudsoni","Knipolegus hudsoni P.L.Sclater, 1872",1,"Aves","Passeriformes","Tyrannidae",2483042,"LC"
"172","Hemidactylus brasilianus","Hemidactylus brasilianus Amaral, 1935",13,"Squamata",NA,"Gekkonidae",5960018,"LC"
"173","Scinax dolloi","Scinax dolloi (Werner, 1903)",6,"Amphibia","Anura","Hylidae",5217916,"DD"
"174","Ischnocnema sambaqui","Ischnocnema sambaqui (Castanho & Haddad, 2000)",2,"Amphibia","Anura","Brachycephalidae",2424888,"LC"
"175","Lepidochelys olivacea","Lepidochelys olivacea (Eschscholtz, 1829)",13,"Testudines",NA,"Cheloniidae",2442153,"VU"
"176","Amerotyphlops amoipira","Amerotyphlops amoipira (Rodrigues & Juncá, 2002)",2,"Squamata",NA,"Typhlopidae",9476362,"LC"
"177","Dendropsophus novaisi","Dendropsophus novaisi (Bokermann, 1968)",3,"Amphibia","Anura","Hylidae",2428394,"LC"
"178","Leposternon infraorbitale","Leposternon infraorbitale (Berthold, 1859)",10,"Squamata",NA,"Amphisbaenidae",7830098,"LC"
"179","Gastrotheca pulchra","Gastrotheca pulchra Caramaschi & Rodrigues, 2007",5,"Amphibia","Anura","Hemiphractidae",5218160,"LC"
"180","Taeniophallus bilineatus","Taeniophallus bilineatus (Fischer, 1885)",18,"Squamata",NA,"Colubridae",2452064,"LC"
"181","Paroaria gularis","Paroaria gularis (Linnaeus, 1766)",5,"Aves","Passeriformes","Thraupidae",2492082,"LC"
"182","Holmesina paulacoutoi","Holmesina paulacoutoi Cartelle & Bohorquez, 1985",1,"Mammalia","Cingulata","Dasypodidae",8443635,"NE"
"183","Pleurodema borellii","Pleurodema borellii (Peracca, 1895)",1,"Amphibia","Anura","Leptodactylidae",2423457,"LC"
"184","Ovis dalli","Ovis dalli Nelson, 1884",2,"Mammalia","Artiodactyla","Bovidae",2441118,"LC"
"185","Lepus oiostolus","Lepus oiostolus Hodgson, 1840",2,"Mammalia","Lagomorpha","Leporidae",2436727,"LC"
"186","Pipile cumanensis","Pipile cumanensis (Jacquin, 1784)",2,"Aves","Galliformes","Cracidae",2482310,"LC"
"187","Lagenorhynchus acutus","Lagenorhynchus acutus (Gray, 1828)",1,"Mammalia","Cetacea","Delphinidae",5220073,"LC"
"188","Brachycephalus pernix","Brachycephalus pernix Pombal, Wistuba & Bornschein, 1998",4,"Amphibia","Anura","Brachycephalidae",5217422,"DD"
"189","Alexandresaurus camacan","Alexandresaurus camacan Rodrigues, Pellegrino, Dixo, Verdade, Pavan, Argolo & Sites, 2007",2,"Squamata",NA,"Gymnophthalmidae",2450908,"NT"
"190","Trachycephalus mambaiensis","Trachycephalus mambaiensis Cintra, Silva, Silva, Garcia & Zaher, 2009",1,"Amphibia","Anura","Hylidae",5217959,"LC"
"191","Dromaius novaehollandiae","Dromaius novaehollandiae (Latham, 1790)",5,"Aves","Casuariiformes","Dromaiidae",2495134,"LC"
"192","Sphaenorhynchus pauloalvini","Sphaenorhynchus pauloalvini Bokermann, 1973",2,"Amphibia","Anura","Hylidae",2428017,"LC"
"193","Psophia crepitans","Psophia crepitans Linnaeus, 1758",1,"Aves","Gruiformes","Psophiidae",2474363,"LC"
"194","Boana botumirim","Boana botumirim (Caramaschi, Cruz & Nascimento, 2009)",1,"Amphibia","Anura","Hylidae",10850814,"LC"
"195","Acrochordus javanicus","Acrochordus javanicus Hornstedt, 1787",1,"Squamata",NA,"Acrochordidae",2472764,"LC"
"196","Ischnocnema epipeda","Ischnocnema epipeda (Heyer, 1984)",9,"Amphibia","Anura","Brachycephalidae",2424886,"CR"
"197","Leontinia gaudryi","Leontinia gaudryi Ameghino, 1894",1,"Mammalia",NA,"Leontiniidae",4941069,"NE"
"198","Micrastur mintoni","Micrastur mintoni Whittaker, 2003",1,"Aves","Falconiformes","Falconidae",2481085,"NT"
"199","Mesoplodon densirostris","Mesoplodon densirostris (Blainville, 1817)",1,"Mammalia","Cetacea","Hyperoodontidae",2440403,"LC"
"200","Alopochelidon fucata","Alopochelidon fucata (Temminck, 1822)",2412,"Aves","Passeriformes","Hirundinidae",4352334,"LC"
"201","Elapomorphus wuchereri","Elapomorphus wuchereri Günther, 1861",11,"Squamata",NA,"Colubridae",5223025,"LC"
"202","Agelaioides badius","Agelaioides badius (Vieillot, 1819)",8115,"Aves","Passeriformes","Icteridae",2484481,"LC"
"203","Thamnodynastes hypoconia","Thamnodynastes hypoconia (Cope, 1860)",78,"Squamata",NA,"Colubridae",2454791,"LC"
"204","Progne subis","Progne subis (Linnaeus, 1758)",223,"Aves","Passeriformes","Hirundinidae",2489129,"LC"
