"species","accepted_gbif","synonyms_gbif","class","order","family","source","synonym_faunabr"
"Asio clamator","Pseudoscops clamator","Bubo clamator","Aves","Strigiformes","Strigidae","faunabr",NA
"Asthenes moreirae","Oreophylax moreirae",NA,"Aves","Passeriformes","Furnariidae","faunabr",NA
"Asthenes pyrrholeuca","Asthenes pyrrholeuca",NA,"Aves","Passeriformes","Furnariidae","faunabr",NA
"Atticora tibialis","Neochelidon tibialis","Petrochelidon tibialis","Aves","Passeriformes","Hirundinidae","faunabr",NA
"Attila bolivianus","Attila bolivianus",NA,"Aves","Passeriformes","Tyrannidae","faunabr",NA
"Attila cinnamomeus","Attila cinnamomeus","Muscicapa cinnamomea","Aves","Passeriformes","Tyrannidae","faunabr",NA
"Attila spadiceus","Attila spadiceus","Muscicapa spadicea","Aves","Passeriformes","Tyrannidae","faunabr",NA
"Augastes lumachella","Augastes lumachella","Ornismya lumachella","Aves","Apodiformes","Trochilidae","faunabr",NA
"Augastes scutatus","Augastes scutatus","Trochilus scutatus","Aves","Apodiformes","Trochilidae","faunabr",NA
"Automolus lammi","Automolus lammi",NA,"Aves","Passeriformes","Furnariidae","faunabr",NA
"Automolus paraensis","Automolus paraensis",NA,"Aves","Passeriformes","Furnariidae","faunabr",NA
"Automolus rufipileatus","Automolus rufipileatus","Anabates rufipileatus","Aves","Passeriformes","Furnariidae","faunabr",NA
"Avocettula recurvirostris","Avocettula recurvirostris","Trochilus recurvirostris","Aves","Apodiformes","Trochilidae","faunabr",NA
"Berlepschia rikeri","Berlepschia rikeri","Picolaptes rikeri","Aves","Passeriformes","Furnariidae","faunabr",NA
"Boiruna sertaneja","Boiruna sertaneja",NA,"Reptilia","Squamata","Dipsadidae","faunabr",NA
"Bothrops atrox","Bothrops atrox","Coluber atrox","Reptilia","Squamata","Viperidae","faunabr",NA
"Bothrops bilineatus","Bothrops bilineatus","Cophias bilineatus","Reptilia","Squamata","Viperidae","faunabr",NA
"Bothrops erythromelas","Bothrops erythromelas",NA,"Reptilia","Squamata","Viperidae","faunabr",NA
"Bothrops fonsecai","Bothrops fonsecai",NA,"Reptilia","Squamata","Viperidae","faunabr",NA
"Bothrops insularis","Bothrops insularis","Lachesis insularis","Reptilia","Squamata","Viperidae","faunabr",NA
"Bothrops leucurus","Bothrops leucurus",NA,"Reptilia","Squamata","Viperidae","faunabr",NA
"Bothrops lutzi","Bothrops lutzi","Lachesis lutzi","Reptilia","Squamata","Viperidae","faunabr",NA
"Bothrops marajoensis","Bothrops marajoensis",NA,"Reptilia","Squamata","Viperidae","faunabr",NA
"Bothrops marmoratus","Bothrops marmoratus",NA,"Reptilia","Squamata","Viperidae","faunabr",NA
"Bothrops mattogrossensis","Bothrops mattogrossensis",NA,"Reptilia","Squamata","Viperidae","faunabr",NA
"Bothrops muriciensis","Bothrops muriciensis",NA,"Reptilia","Squamata","Viperidae","faunabr",NA
"Bothrops otavioi","Bothrops otavioi",NA,"Reptilia","Squamata","Viperidae","faunabr",NA
"Bothrops pirajai","Bothrops pirajai",NA,"Reptilia","Squamata","Viperidae","faunabr",NA
"Bothrops pubescens","Bothrops pubescens","Trigonocephalus pubescens","Reptilia","Squamata","Viperidae","faunabr",NA
"Brachycephalus actaeus","Brachycephalus actaeus",NA,"Amphibia","Anura","Brachycephalidae","faunabr",NA
"Brachycephalus albolineatus","Brachycephalus albolineatus",NA,"Amphibia","Anura","Brachycephalidae","faunabr",NA
"Brachycephalus alipioi","Brachycephalus alipioi",NA,"Amphibia","Anura","Brachycephalidae","faunabr",NA
"Brachycephalus auroguttatus","Brachycephalus auroguttatus",NA,"Amphibia","Anura","Brachycephalidae","faunabr",NA
"Brachycephalus boticario","Brachycephalus boticario",NA,"Amphibia","Anura","Brachycephalidae","faunabr",NA
"Brachycephalus bufonoides","Brachycephalus bufonoides",NA,"Amphibia","Anura","Brachycephalidae","faunabr",NA
"Brachycephalus crispus","Brachycephalus crispus",NA,"Amphibia","Anura","Brachycephalidae","faunabr",NA
"Brachycephalus darkside","Brachycephalus darkside",NA,"Amphibia","Anura","Brachycephalidae","faunabr",NA
"Brachycephalus fuscolineatus","Brachycephalus fuscolineatus",NA,"Amphibia","Anura","Brachycephalidae","faunabr",NA
"Brachycephalus mariaeterezae","Brachycephalus mariaeterezae",NA,"Amphibia","Anura","Brachycephalidae","faunabr",NA
"Brachycephalus olivaceus","Brachycephalus olivaceus",NA,"Amphibia","Anura","Brachycephalidae","faunabr",NA
"Brachycephalus verrucosus","Brachycephalus verrucosus",NA,"Amphibia","Anura","Brachycephalidae","faunabr",NA
"Brachygalba lugubris","Brachygalba lugubris","Galbula lugubris","Aves","Galbuliformes","Galbulidae","faunabr",NA
"Brachyteles hypoxanthus","Brachyteles hypoxanthus","Ateles hypoxanthus","Mammalia","Primates","Atelidae","faunabr",NA
"Bradypus crinitus","Bradypus torquatus",NA,"Mammalia","Pilosa","Bradypodidae","faunabr",NA
"Bradypus variegatus","Bradypus variegatus",NA,"Mammalia","Pilosa","Bradypodidae","faunabr",NA
"Brotogeris chrysoptera","Brotogeris chrysoptera","Psittacus chrysopterus","Aves","Psittaciformes","Psittacidae","faunabr",NA
"Brucepattersonius griserufescens","Brucepattersonius griserufescens",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Bucco capensis","Bucco capensis",NA,"Aves","Galbuliformes","Bucconidae","faunabr",NA
"Burhinus bistriatus","Burhinus bistriatus","Charadrius bistriatus","Aves","Charadriiformes","Burhinidae","faunabr",NA
"Cabassous chacoensis","Cabassous chacoensis",NA,"Mammalia","Cingulata","Chlamyphoridae","faunabr",NA
"Cabassous squamicaudis","Cabassous unicinctus","Dasypus unicinctus","Mammalia","Cingulata","Chlamyphoridae","faunabr",NA
"Cacicus cela","Cacicus cela","Parus cela","Aves","Passeriformes","Icteridae","faunabr",NA
"Caiman crocodilus","Caiman crocodilus","Lacerta crocodilus","Reptilia","Crocodylia","Alligatoridae","faunabr",NA
"Calamodontophis paucidens","Calamodontophis paucidens","Calamodon paucidens","Reptilia","Squamata","Dipsadidae","faunabr",NA
"Calassomys apicalis","Calassomys apicalis",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Calidris mauri","Calidris mauri","Ereunetes mauri","Aves","Charadriiformes","Scolopacidae","faunabr",NA
"Callicebus barbarabrownae","Callicebus barbarabrownae",NA,"Mammalia","Primates","Pitheciidae","faunabr",NA
"Callicebus coimbrai","Callicebus coimbrai",NA,"Mammalia","Primates","Pitheciidae","faunabr",NA
"Callicebus melanochir","Callicebus melanochir","Callithrix melanochir","Mammalia","Primates","Pitheciidae","faunabr",NA
"Callicebus nigrifrons","Callicebus nigrifrons","Callithrix nigrifrons","Mammalia","Primates","Pitheciidae","faunabr",NA
"Callicebus pallescens","Plecturocebus pallescens","Callicebus pallescens","Mammalia","Primates","Pitheciidae","faunabr",NA
"Callicebus personatus","Callicebus personatus",NA,"Mammalia","Primates","Pitheciidae","faunabr",NA
"Callistomys pictus","Callistomys pictus","Nelomys pictus","Mammalia","Rodentia","Echimyidae","faunabr",NA
"Callithrix aurita","Callithrix aurita","Jacchus auritus","Mammalia","Primates","Cebidae","faunabr",NA
"Callithrix flaviceps","Callithrix flaviceps","Hapale flaviceps","Mammalia","Primates","Cebidae","faunabr",NA
"Callithrix geoffroyi","Callithrix geoffroyi","Simia geoffroyi","Mammalia","Primates","Cebidae","faunabr",NA
"Callithrix kuhlii","Callithrix kuhlii",NA,"Mammalia","Primates","Cebidae","faunabr",NA
"Calomys callidus","Calomys callidus",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Calomys callosus","Calomys callosus","Mus callosus","Mammalia","Rodentia","Cricetidae","faunabr",NA
"Calomys cerqueirai","Calomys cerqueirai",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Calomys expulsus","Calomys expulsus","Mus expulsus","Mammalia","Rodentia","Cricetidae","faunabr",NA
"Calomys laucha","Calomys laucha",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Calomys tener","Calomys tener",NA,"Mammalia","Rodentia","Cricetidae","faunabr",NA
"Caluromys philander","Caluromys philander","Didelphis philander","Mammalia","Didelphimorphia","Didelphidae","faunabr",NA
"Calyptura cristata","Calyptura cristata",NA,"Aves","Passeriformes","Platyrinchidae","faunabr",NA
"Campephilus leucopogon","Campephilus leucopogon",NA,"Aves","Piciformes","Picidae","faunabr",NA
"Campylopterus calcirupicola","Campylopterus calcirupicola",NA,"Aves","Apodiformes","Trochilidae","faunabr",NA
"Campylopterus diamantinensis","Campylopterus diamantinensis",NA,"Aves","Apodiformes","Trochilidae","faunabr",NA
"Campylopterus obscurus","Campylopterus largipennis obscurus",NA,"Aves","Apodiformes","Trochilidae","faunabr",NA
"Cantorchilus guarayanus","Cantorchilus guarayanus",NA,"Aves","Passeriformes","Troglodytidae","faunabr",NA
"Carterodon sulcidens","Carterodon sulcidens",NA,"Mammalia","Rodentia","Echimyidae","faunabr",NA
"Caryothraustes brasiliensis","Caryothraustes canadensis brasiliensis",NA,"Aves","Passeriformes","Cardinalidae","faunabr",NA
"Caryothraustes canadensis","Caryothraustes canadensis","Loxia canadensis","Aves","Passeriformes","Cardinalidae","faunabr",NA
"Casiornis fuscus","Casiornis fuscus",NA,"Aves","Passeriformes","Tyrannidae","faunabr",NA
"Cathartes melambrotus","Cathartes melambrotus",NA,"Aves","Cathartiformes","Cathartidae","faunabr",NA
"Catharus swainsoni","Catharus ustulatus","Turdus ustulatus","Aves","Passeriformes","Turdidae","faunabr",NA
"Cavia intermedia","Cavia intermedia",NA,"Mammalia","Rodentia","Caviidae","faunabr",NA
"Cavia magna","Cavia magna",NA,"Mammalia","Rodentia","Caviidae","faunabr",NA
"Cebus kaapori","Cebus kaapori",NA,"Mammalia","Primates","Cebidae","faunabr",NA
"Celeus flavus","Celeus flavus","Picus flavus","Aves","Piciformes","Picidae","faunabr",NA
"Celeus obrieni","Celeus obrieni",NA,"Aves","Piciformes","Picidae","faunabr",NA
