"","species","subspecies","scientificName","acceptedName","kingdom","phylum","class","order","family","genus","lifeForm","habitat","states","countryCode","origin","taxonomicStatus","nomenclaturalStatus","vernacularName","taxonRank","id"
"46033","Imantodes cenchoa",NA,"Imantodes cenchoa (Linnaeus, 1758)",NA,"Animalia","Chordata","Reptilia","Squamata","Dipsadidae","Imantodes","free_living_individual","terrestrial","AC;AL;AM;AP;CE;ES;GO;MA;MG;MS;MT;PA;PI;RJ;RO;RR;SC;SP;TO","AR;BO;BR;CO;CR;EC;GF;GT;MX;PA;PY;TT","native","accepted",NA,NA,"species",57297
"46090","Adenomera engelsi",NA,"Adenomera engelsi Kwet, Steiner & Zillikens, 2009",NA,"Animalia","Chordata","Amphibia","Anura","Leptodactylidae","Adenomera","free_living_individual","terrestrial","SC","BR","native","accepted",NA,NA,"species",57367
"46111","Hydrops martii",NA,"Hydrops martii (Wagler, 1824)",NA,"Animalia","Chordata","Reptilia","Squamata","Dipsadidae","Hydrops","free_living_individual","freshwater;terrestrial","AC;AM;AP;MA;MT;PA;RO;RR;TO","BR;CO;EC;GY;PE","native","accepted",NA,NA,"species",57392
"46125","Amphisbaena amazonica",NA,"Amphisbaena amazonica Vanzolini, 1951",NA,"Animalia","Chordata","Reptilia","Squamata","Amphisbaenidae","Amphisbaena","free_living_individual","fossorial;terrestrial","AM;MA;MT;PA","BO;BR;CO;EC;PA;PE;VE","native","accepted",NA,NA,"species",57410
"46155","Epictia munoai",NA,"Epictia munoai (Orejas-Miranda, 1961)",NA,"Animalia","Chordata","Reptilia","Squamata","Leptotyphlopidae","Epictia","free_living_individual","terrestrial","RS;SC","AR;BR;PY;UY","native","accepted",NA,NA,"species",57453
"46159","Marmosa constantiae",NA,"Marmosa (Micoureus) constantiae (Thomas, 1904)",NA,"Animalia","Chordata","Mammalia","Didelphimorphia","Didelphidae","Marmosa","free_living_individual","arboreal;terrestrial","AC;AM;MS;MT;PA;RO","BO;BR;PE","native","accepted",NA,"cuica, White-bellied Woolly Mouse Opossum","species",57459
"46270","Adenomera hylaedactyla",NA,"Adenomera hylaedactyla (Cope, 1868)",NA,"Animalia","Chordata","Amphibia","Anura","Leptodactylidae","Adenomera","free_living_individual","terrestrial","AC;AL;AM;AP;CE;DF;GO;MA;MG;MS;MT;PA;PB;PE;PI;RN;RO;RR;TO","BO;BR;CO;EC;GF;GY;PE;VE","native","accepted",NA,NA,"species",57600
"46325","Drymoreomys albimaculatus",NA,"Drymoreomys albimaculatus Percequillo, Weksler & Costa, 2011",NA,"Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Drymoreomys","free_living_individual","arboreal;terrestrial","PR;RJ;SC;SP","BR","native","accepted",NA,"Rato-de-garganta-branca","species",57672
"46383","Calomys callidus",NA,"Calomys callidus (Thomas, 1916)",NA,"Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Calomys","herbivore;free_living_individual","terrestrial","MS;MT;RO","AR;BR","native","accepted",NA,"Camundongo-do-campo","species",57751
"46391","Brucepattersonius griserufescens",NA,"Brucepattersonius griserufescens Hershkovitz, 1998",NA,"Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Brucepattersonius","free_living_individual","terrestrial","ES;MG;RJ;SP","BR","native","accepted",NA,"Gray-bellied Brucie, Rato-do-chao, Brucie-de-barriga-cinza","species",57761
"46400","Oecomys bicolor",NA,"Oecomys bicolor (Tomes, 1860)",NA,"Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Oecomys","free_living_individual","arboreal;terrestrial","AC;AM;AP;MS;MT;PA;RO","BO;BR;CO;EC;GF;GY;PE;SR;VE","native","accepted",NA,"Camundongo-da-arvore","species",57770
"46570","Echinanthera cyanopleura",NA,"Echinanthera cyanopleura (Cope, 1885)",NA,"Animalia","Chordata","Reptilia","Squamata","Dipsadidae","Echinanthera","free_living_individual","terrestrial","MG;PR;RS;SC;SP","AR;BR","native","accepted",NA,"Cobrinha-cipo","species",57971
"46595","Tamandua tetradactyla",NA,"Tamandua tetradactyla (Linnaeus, 1758)",NA,"Animalia","Chordata","Mammalia","Pilosa","Myrmecophagidae","Tamandua","free_living_individual","arboreal;terrestrial","AC;AL;AM;AP;BA;CE;DF;ES;GO;MA;MG;MS;MT;PA;PB;PE;PI;PR;RJ;RN;RO;RR;RS;SC;SE;SP;TO","AR;BO;BR;CO;EC;GF;GY;PE;PY;SR;UY","native","accepted",NA,"Tamandua-mirim, Tamandua-de-colete, Tamandua-colete","species",57999
"46619","Cerradomys langguthi",NA,"Cerradomys langguthi Percequillo, Hingst-Zaher & Bonvicino, 2008",NA,"Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Cerradomys","herbivore;free_living_individual","terrestrial","AL;CE;MA;PB;PE;PI","BR","native","accepted",NA,"Langguth's Cerradomys, Rato-de-Langguth","species",58028
"46626","Arctocephalus tropicalis",NA,"Arctocephalus tropicalis (Gray, 1872)",NA,"Animalia","Chordata","Mammalia","Carnivora","Otariidae","Arctocephalus","free_living_individual","marine","AL;BA;PR;RJ;RN;RS;SC;SP","BR","native","accepted",NA,"Lobo-marinho subantartico","species",58035
