"species","class","order","family","source"
"Nyctibius grandis","Aves","Nyctibiiformes","Nyctibiidae","faunabr"
"Nyctibius griseus","Aves","Nyctibiiformes","Nyctibiidae","faunabr"
"Nycticorax nycticorax","Aves","Pelecaniformes","Ardeidae","faunabr"
"Nyctidromus albicollis","Aves","Caprimulgiformes","Caprimulgidae","faunabr"
"Nyctidromus hirundinaceus","Aves","Caprimulgiformes","Caprimulgidae","faunabr"
"Nyctiphrynus ocellatus","Aves","Caprimulgiformes","Caprimulgidae","faunabr"
"Nyctiprogne leucopyga","Aves","Caprimulgiformes","Caprimulgidae","faunabr"
"Nystalus chacuru","Aves","Galbuliformes","Bucconidae","faunabr"
"Odontophorus capueira","Aves","Galliformes","Odontophoridae","faunabr"
"Onychoprion fuscatus","Aves","Charadriiformes","Sternidae","faunabr"
"Oreopholus ruficollis","Aves","Charadriiformes","Charadriidae","faunabr"
"Ortalis canicollis","Aves","Galliformes","Cracidae","faunabr"
"Ortalis guttata","Aves","Galliformes","Cracidae","faunabr"
"Oxyruncus cristatus","Aves","Passeriformes","Oxyruncidae","faunabr"
"Pachyramphus castaneus","Aves","Passeriformes","Tityridae","faunabr"
"Pachyramphus marginatus","Aves","Passeriformes","Tityridae","faunabr"
"Pachyramphus polychopterus","Aves","Passeriformes","Tityridae","faunabr"
"Pachyramphus rufus","Aves","Passeriformes","Tityridae","faunabr"
"Pachyramphus validus","Aves","Passeriformes","Tityridae","faunabr"
"Pachyramphus viridis","Aves","Passeriformes","Tityridae","faunabr"
"Pandion haliaetus","Aves","Accipitriformes","Pandionidae","faunabr"
"Panyptila cayennensis","Aves","Apodiformes","Apodidae","faunabr"
"Parabuteo unicinctus","Aves","Accipitriformes","Accipitridae","faunabr"
"Pardirallus maculatus","Aves","Gruiformes","Rallidae","faunabr"
"Pardirallus nigricans","Aves","Gruiformes","Rallidae","faunabr"
"Pardirallus sanguinolentus","Aves","Gruiformes","Rallidae","faunabr"
"Paroaria capitata","Aves","Passeriformes","Thraupidae","faunabr"
"Patagioenas maculosa","Aves","Columbiformes","Columbidae","faunabr"
"Patagioenas picazuro","Aves","Columbiformes","Columbidae","faunabr"
"Patagioenas plumbea","Aves","Columbiformes","Columbidae","faunabr"
"Pelagodroma marina","Aves","Procellariiformes","Hydrobatidae","faunabr"
"Penelope superciliaris","Aves","Galliformes","Cracidae","faunabr"
